Seite,Zeilen,TextDissertation,SeiteFundstelle,ZeilenFundstelle,TextFundstelle,Kategorie,ImLiteraturverzeichnis,Quelle,URL,Anmerkung
187, "104-109", "[531] Vgl. auch &#039;&#039;L. Kühnhardt&#039;&#039;, Der Verfassungsentwurf des EU-Konvents. Bewertung der Strukturentscheidungen, ZEI Discussion-Paper, 2003, S. 6 f.: „Dass den Verfassungsschöpfern Dank gebührt, ist wohl wahr. Aber was hat dieser Dank in der Präambel einer Verfassung zu suchen, die nicht nur politischen Akteuren als Referenzpunkt dienen soll, sondern die von Schülern und Studenten in ganz Europa studiert wird, um Auskunft über die Frage zu bekommen, was die politische Identität Europas bedeutet?“", 6, "25-29", "Dass den Verfassungsschöpfern Dank gebührt, ist wohl wahr. Aber was hat dieser Dank in der Präambel einer Verfassung zu suchen, die nicht nur politischen Akteuren als Referenzpunkt dienen soll, sondern die von Schülern und Studenten in ganz Europa studiert wird, um Auskunft über die Frage zu bekommen, was die politische Identität Europas bedeutet?", "BauernOpfer", "ja", "Kühnhardt 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Kühnhardt%202003", ""
188, "01-09", "Gelungen ist allerdings das Motto, das Konventspräsident Giscard d’Estaing in&#13;&#10;letzter Minute für den Text der Präambel einbrachte: „In Vielfalt geeint“ (es wird in Artikel IV-1 VerfV: „Die Symbole der Union“ wiederholt). Diese Floskel besitzt durchaus Chancen, zum (wenngleich stets zu überprüfenden und höchstens im Hinblick auf eine erfolgreiche Implementierung des Verfassungsvertrages geltenden) Leitmotto der Europäischen Union auf Jahre und Jahrzehnte hinweg zu werden. Der Verfasser dieser Zeilen erhebt den bislang vereinzelten und schüchternen Ruf, die Devise „In Vielfalt geeint“ eines Tages – in lateinischer Fassung – auch auf den EURO-Geldscheinen lesen können, zur Forderung.", 10, "3-9", "Gelungen ist das Motto, das Konventspräsident Giscard d’Estaing in letzter Minute für den Text der Präambel einbrachte: „In Vielfalt geeint“ (es wird in Artikel IV-1: „Die Symbole der Union“ wiederholt). Dieses Wort hat gute Chancen, zum Leitmotto der Europäischen Union auf Jahre und Jahrzehnte hinweg zu werden. Man sollte die Devise „In Vielfalt geeint“ eines Tages – am besten in lateinischer Fassung – auch auf den EURO-Geldscheinen lesen können!", "Verschleierung", "ja", "Kühnhardt 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Kühnhardt%202003", "Im Kontext von Seite 187 unten evtl. als Teil des Bauernopfer zu betrachten. {{Fragmentsichter|MoonofA|0}}"
188, "09-12", "Als das neue Deutsche Reich am 9. 7. 1873 ein Münzgesetz erließ und dort erklärte „An die Stelle der in Deutschland geltenden Landeswährungen tritt die Reichsgoldwährung ...“ war einer der wichtigsten Punkte der „inneren Reichsgründung“ erreicht.", "1022-1023", "", "Als das neue Deutsche Reich am 9. 7. 1873 ein Münzgesetz erließ und dort erklärte „An die Stelle der in Deutschland geltenden Landeswährungen tritt die Reichsgoldwährung …” war einer der wichtigsten Punkte der „inneren Reichsgründung” erreicht.", "KomplettPlagiat", "ja", "Stolleis 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Stolleis%202002", "{{Fragmentsichter|MoonofA|0}}"
188, "32-37", "der Verfassungsvertrag, der alle derzeitigen&#13;&#10;europäischen Verträge durch einen einzigen Rechtsakt ersetzen sollte, konnte erst&#13;&#10;in Kraft treten, wenn er von den Unterzeichnerstaaten angenommen beziehungsweise&#13;&#10;ratifiziert wurde. Der Ratifizierungsprozess sollte ursprünglich in allen&#13;&#10;Mitgliedsstaaten bis November 2006 abgeschlossen sein.", 1, "", "Dieser Verfassungsvertrag, der alle derzeitigen europäischen Verträge durch einen einzigen Rechtsakt ersetzt, kann jedoch erst in Kraft treten, wenn er von den Unterzeichnerstaaten angenommen beziehungsweise ratifiziert wurde. Der Ratifizierungsprozess sollte in allen Mitgliedsstaaten bis November 2006 abgeschlossen sein.", "Verschleierung", "nein", "Janssen 2005", "http://de.guttenplag.wikia.com/wiki/Kategorie:Janssen%202005", "{{Fragmentsichter|MoonofA|0}}"
189, "1-7", "Zunächst gab es lediglich differierende Annahmeverfahren und einige Unklarheiten&#13;&#10;zu konstatieren: während in zehn Mitgliedsstaaten die Ratifizierung per&#13;&#10;Referendum stattfinden sollte, konnten in weiteren zwölf Ländern grundsätzlich&#13;&#10;die nationalen Parlamente die Verfassung ratifizieren. In drei Mitgliedsstaaten&#13;&#10;stand die Methode der Annahme noch nicht fest. Darüber hinaus traf der Verfassungsvertrag&#13;&#10;in zahlreichen Ländern weiterhin auf Widerstand und Ablehnung&#13;&#10;in Gesellschaft und Politik.", 1, "", "Hinsichtlich des Annahmeverfahrens bestehen in einigen Ländern noch Unklarheiten: während in zehn Mitgliedsstaaten die Ratifizierung per Referendum stattfinden wird, werden in weiteren zwölf Ländern die nationalen Parlamente die Verfassung ratifizieren. In drei Mitgliedsstaaten steht die Methode der Annahme noch nicht fest. Darüber hinaus trifft der Verfassungsvertrag in zahlreichen Ländern weiterhin auf Widerstand und Ablehnung in Gesellschaft und Politik.", "Verschleierung", "nein", "Janssen 2005", "http://de.guttenplag.wikia.com/wiki/Kategorie:Janssen%202005", "{{Fragmentsichter|MoonofA|+}}"
189, "9-25", "Referenda zu Fragen der europäischen Integration sind freilich kein Novum. Unterschieden werden muss dabei zwischen verschiedenen Typen: bindende und nichtbindende Referenda; Referenda, die von Regierungen, und solche, die von der jeweiligen Opposition eingebracht worden sind; Referenda mit Wirkung auf das Land, das das Referendum durchführt, und Referenda mit Wirkung auf den EU-Prozess insgesamt.536 Bisher haben über 40 Referenda über Aspekte der Weiterentwicklung der europäischen Integration stattgefunden. Einige betrafen die Frage des Beitritts - oder der Fortsetzung der Mitgliedschaft - eines Landes zum europäischen Einigungsprozess in seiner jeweiligen Form oder zur verstärkten bilateralen Kooperation mit der Europäischen Union. Ein Referendum entschied über den Beitritt anderer Länder. Eine Reihe von Referenda wurde über Aspekte der konstitutionellen Vertiefung der europäischen Integration abgehalten. Seit dem Abschluss der Einheitlichen Europäischen Akte 1986 ist dies ein Indikator dafür geworden, dass die europäische Integration auf die Identität ihrer Mitgliedsstaaten zurückwirkt. Die Frage nach der konstitutionellen Legitimität einer vertieften Integration stellt sich überhaupt nur dort, wo der nächste politische Schritt tatsächlich eine Vertiefung des Integrationsprozesses bedeutet.537&#13;&#10;&#13;&#10;[(Fußnote 537:) 537 Vgl. L. Kühnhardt, Auf dem Weg zu einem europäischen Verfassungspatriotismus, in: NZZ, 16. Juli 2004: &quot;Wo dies der Fall ist, geht es um die Übertragung nationalstaatlicher Souveränität auf die EU. Es ist nicht verwunderlich, dass in einer solchen Situation in einigen Ländern der EU die Referendumsfrage virulent wurde - und bei der europäischen Verfassung wieder virulent geworden ist. Andere Staaten votierten schon in früheren Fällen - und auch jetzt w ieder - für die primäre Verantwortung ihrer frei gewählten und dadurch entsprechend zur Abstimmung mandatierten Parlamente.&quot;]", 9, "", "Referenden zu Fragen der europäischen Integration sind kein Novum. Unterschieden werden muss dabei zwischen verschiedenen Typen: bindende und nichtbindende Referenden; Referenden, die von Regierungen, und solche, die von der jeweiligen Opposition eingebracht worden sind; Referenden mit Wirkung auf das Land, das das Referendum durchführt, und Referenden mit Wirkung auf den EU-Prozess insgesamt. Bis­her haben 40 Referenden über Aspekte der Weiterentwicklung der europäischen Integration statt­gefunden. Eine Reihe dieser Referenden betraf die Frage des Beitritts - oder der Fortsetzung der Mitgliedschaft - eines Landes zum europäischen Einigungsprozess in seiner jeweiligen Form oder zur verstärkten bilateralen Kooperation mit der EU. Ein Referendum entschied über den Beitritt anderer Länder. Eine Reihe von Referenden wurde über Aspekte der konstitutionellen Vertie­fung der europäischen Integration abgehalten. Seit dem Abschluss der Einheitlichen Europäischen Akte 1986 ist dies ein Indikator dafür geworden, dass die europäische Integration auf die Identität ihrer Mitgliedsstaaten zurückwirkt. Die Frage nach der konstitutionellen Legitimität einer vertieften Integration stellt sich überhaupt nur dort, wo der nächste politische Schritt tatsächlich eine Vertiefung des Integrationsprozesses bedeutet.", "VerschärftesBauernOpfer", "ja", "Kühnhardt 2004", "http://de.guttenplag.wikia.com/wiki/Kategorie:Kühnhardt%202004", "Man beachte die Fußnote 537, in der ein weiterer Auszug aus demselben NZZ-Artikel mit Quellenangabe und Anführungszeichen formal korrekt zitiert wird; als Quellenangabe für das ungekennzeichnete Zitat im Haupttext ist die Fußnote hingegen untauglich.  {{Fragmentsichter|MoonofA|+}}"
189, "112-119", "[Fn 536] In einem „europäischen Verfassungsreferendum“ müsste verfahrensmäßig der föderale Aspekt zum Tragen kommen. Es dürfte nicht nur auf die Zustimmung der gesamten europäischen Bürgerschaft ankommen, sondern es wäre auch die regionale Verteilung der Zustimmung zu berücksichtigen, um die Majorisierung von Bürgern kleiner Mitgliedstaaten (deren auch-nationale Identität zu respektieren ist) zu verhindern. Die bloß parallelen nationalen, auf Europa bezogenen Referenden können diesen Minderheitenschutz nicht leisten. Allerdings: ein gesamteuropäisches Referendum (gar mit dem geschilderten föderalen Mechanismus) bleibt utopisch.", 28, "14-23", "Hinzu kommt, dass verfahrensmässig in einem europäischen Verfassungsreferendum der föderale Aspekt zum Tragen kommen müsste. Es dürfte nicht nur auf die Zustimmung der gesamten europäischen Bürgerschaft ankommen, sondern es wäre auch die regionale Verteilung der Zustimmung zu berücksichtigen, um die Majorisierung von Bürgern kleiner Mitgliedstaaten (deren auch-nationale Identität zu respektieren ist) zu verhindern. Die bloss parallelen nationalen, auf Europa bezogenen Referenden könnten diesen Minderheitenschutz nicht leisten. Und ein gesamteuropäisches Referendum (gar mit dem geschilderten föderalen Mechanismus) ist noch utopisch.", "Verschleierung", "nein", "Peters 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Peters%202003", "{{Fragmentsichter|Kahrl|0}}"
190, "12-18", "Die Debatte über die Ratifikationsprozedur war und ist in sich selbst ein Teil des Diskurses zur europäischen Verfassung. Sie rückt Prognosen in das Licht der Öffentlichkeit, die mit gewisser stereotypischer Kontinuität über die Haltung einzelner Völker zum europäischen Einigungswerk gemacht werden. Der Prozess der Ratifizierung einer europäischen Verfassung ist ebenso Teil der Formierung einer europäischen Öffentlichkeit, wie die Erarbeitung des nun zur Abstimmung stehenden Textes selbst es gewesen ist.", 1, "31 ff", "Die Debatte über die Ratifikationsprozedur ist in sich selbst ein Teil des Diskurses zur europäi­schen Verfassung. Sie rückt Prognosen in das Licht der Öffentlichkeit, die mit gewisser stereoty­pischer Kontinuität über die Haltung einzelner Völker zum europäischen Einigungswerk gemacht werden. Entschieden wird aber erst nach Auszäh­lung aller Stimmen, sei es in den Parlamenten oder sei es bei einer Volksabstimmung. Der Prozess der Ratifizierung der europäischen Verfas­sung ist ebenso Teil der Formierung einer euro­päischen Öffentlichkeit, wie die Erarbeitung des nun zur Abstimmung stehenden Textes selbst es gewesen ist.", "KomplettPlagiat", "ja", "Kühnhardt 2004", "http://de.guttenplag.wikia.com/wiki/Kategorie:Kühnhardt%202004", "anonymus"
190, "108-124", "Die zweifachen Abstimmungen in Dänemark (1992 und 1993) und in&#13;&#10;Irland (2001 und 2003) über den konstitutionellen Fortgang des Integrationsprozesses ragten bis zu den &quot;schwarzen Tagen&quot; in Frankreich und den Niederlande tatsächlich aus dem Kontext der Erfahrungen mit Referenden zu Fragen der europäischen Integration heraus: &#13;&#10;In beiden Fällen hatte das Votum eines Mitgliedslandes&#13;&#10;Auswirkungen für alle anderen Mitgliedsländer&#13;&#10;und ihren Integrationswillen. &#13;&#10;Dies war letztlich der – sowohl integrationstheoretisch wie auch demokratietheoretisch nachvollziehbare – Grund,&#13;&#10;warum in beiden Fällen ein zweites Referendum&#13;&#10;angesetzt wurde. Im Falle Dänemark geschah dies&#13;&#10;nach Konzessionen an die dänischen Kritiker des&#13;&#10;Maastricht-Vertrages («opting out»-Klauseln). &#13;&#10;Im irischen Fall – bei dem doppelten Votum der Iren&#13;&#10;zum Vertrag von Nizza – wurde das zweite&#13;&#10;Votum nach einer Periode des Wartens angesetzt,&#13;&#10;verbunden mit deutlichen Worten von außen,&#13;&#10;dass ein Land nicht die ganze Europäische Union zur Geisel nehmen dürfe.&#13;&#10;Im dänischen Fall wurde die integrationspolitische Logik des erzielten Kompromisses kritisiert,&#13;&#10;im irischen Fall die demokratietheoretische Logik des zweiten Referendums. &#13;&#10;In beiden Fällen obsiegte ein gewisser Sinn für Pragmatismus, der in&#13;&#10;der Europäischen Union offenbar vor jeder Form von Purismus immer dann obwaltet, wenn das Einigungswerk insgesamt in eine Sackgasse zu geraten droht.", 1, "", "Zwei Fälle ragen aus dem Kontext der Erfahrungen mit Referenden zu Fragen der europäischen Integration heraus: die zweifache Abstimmung in Dänemark (1992 und 1993) und in Irland (2001 und 2003) über den konstitutionellen Fortgang des Integrationsprozesses. &#13;&#10;In beiden Fällen hatte das Votum eines Mitgliedslandes&#13;&#10;Auswirkungen für alle anderen Mitgliedsländer&#13;&#10;und ihren Integrationswillen. &#13;&#10;Dies war letztlich der – sowohl integrationstheoretisch wie auch &#13;&#10;demokratietheoretisch nachvollziehbare – Grund,&#13;&#10;warum in beiden Fällen ein zweites Referendum&#13;&#10;angesetzt wurde. Im Falle Dänemark geschah dies&#13;&#10;nach Konzessionen an die dänischen Kritiker des&#13;&#10;Maastricht-Vertrages («opting out»-Klauseln). &#13;&#10;Im irischen Fall – bei dem doppelten Votum der Iren&#13;&#10;zum Vertrag von Nizza – wurde das zweite&#13;&#10;Votum nach einer Periode des Wartens angesetzt,&#13;&#10;verbunden mit deutlichen Worten von aussen,&#13;&#10;dass ein Land nicht die ganze EU zur Geisel nehmen dürfe.&#13;&#10;Im dänischen Fall wurde die integrationspolitische Logik des erzielten Kompromisses kritisiert,&#13;&#10;im irischen Fall die demokratietheoretische Logik des zweiten Referendums. &#13;&#10;In beiden Fällen obsiegte ein gewisser Sinn für Pragmatismus, der in&#13;&#10;der EU offenbar vor jeder Form von Purismus immer dann obwaltet, wenn das Einigungswerk insgesamt in eine Sackgasse zu geraten droht.", "KomplettPlagiat", "ja", "Kühnhardt 2004", "http://de.guttenplag.wikia.com/wiki/Kategorie:Kühnhardt%202004", ""
191, "12-32", "Nach dem Scheitern der Referenda in Frankreich und den Niederlanden sprachen sich viele Politiker, Kommentatoren und Wissenschaftler für eine &quot;Rettung&quot; des Vertrages aus, dessen baldiges Inkrafttreten realistischerweise unwahrscheinlich war. Sowohl die französische wie die niederländische Regierung häten bei einer zeitnahen neuen Abstimmung &quot;politischen Selbstmord&quot; begangen. Der Vorwurf des Ignorierens des Wählerwillens wäre allenfalls dann überwindbar, wenn das unbedingte Festhalten am Verfassungsvertrag innerhalb der Europäischen Union eine breite Unterstützung fände. Diese ist bis heute weder auf EU-Ebene noch in den Mitgliedstaaten auszumachen. Zudem war insbesondere in Großbritannien und Irland ein klares &quot;Ja&quot; nicht zu erwarten. Folglich dachten Viele über mögliche Alternativen nach.&#13;&#10;&#13;&#10;Es wurde eine ganze Reihe von &quot;Plan B-Optionen&quot; diskutiert540: eine umfassende Neuverhandlung, der &quot;cherry-picking-Ansatz&quot; (sog. Nizza-Plus), ein Zusatzvertrag zum geltenden Vertrag von Nizza in der Form eines Verfassungsvertrages light oder eines Änderungsvertrages, ein Europa der zwei Geschwindigkeiten mit den beiden Optionen eines freiwilligen Austritts der Nichtratifizierer oder der Gründung einer neuen Union, die Beibehaltung des primärrechtlichen Status quo sowie die erneute Reform der europäischen Verträge in einigen Jahren im Sinne einer &quot;Verfassung II&quot;. Einige der Alternativvorschläge stellten keine reelle Option dar. Aber auch die übrigen konnten nur &quot;second-best-Lösungen&quot; anbieten, da sie stets mit gewissen Einschränkungen oder Hindernissen verbunden sind. Welcher der diskutierten [Plan B-Optionen auch immer im Rahmen des Vertrages von Lissabon zum Tragen käme, die Ratifikation sollte nur gestoppt werden, wenn eine klare Alternative vorhanden ist, die ambitioniert genug ist, die EU-27 demokratischer und effizienter zu gestalten.]&#13;&#10;&#13;&#10;Fußnote&#13;&#10;&#13;&#10;[540] Vgl. umfassend und m[it]. w[eiteren]. N[achweisen]. B. Thalmaier,, Nach den gescheiterten Referenden: Die Zukunft des Verfassungsvertrages, C.A.P.-Analyse, 2005; [...]", 4, "1-25", "Nach dem Scheitern der Referenden in Frankreich und den Niederlanden ist von Seiten der Staats- und Regierungschefs über das Schicksal des Verfassungsvertrages noch nicht entschieden worden. Obgleich sich viele Politiker, Kommentatoren und Wissenschaftler für eine &quot;Rettung&quot; des Vertrages aussprechen, ist sein Inkrafttreten derzeit realistischerweise sehr unwahrscheinlich. Sowohl die französische wie die niederländische Regierung würden bei einer neuen Abstimmung politischen Selbstmord begehen. Der Vorwurf des Ignorierens des Wählerwillens wäre allenfalls dann überwindbar, wenn das unbedingte Festhalten am Verfassungsvertrag innerhalb der EU eine breite Unterstützung fände. Diese ist derzeit weder auf EU-Ebene noch in den Mitgliedstaaten auszumachen. Zudem ist insbesondere in Großbritannien ein &quot;Ja&quot; nicht zu erwarten. Folglich gilt es über mögliche Alternativen nachzudenken.&#13;&#10;&#13;&#10;Es wird eine ganze Reihe von Plan B-Optionen diskutiert: eine umfassende Neuverhandlung, der cherry-picking-Ansatz (sog. Nizza-Plus), ein Zusatzvertrag zum geltenden Vertrag von Nizza in der Form eines Verfassungsvertrages light oder eines Änderungsvertrages, ein Europa der zwei Geschwindigkeiten mit den beiden Optionen eines freiwilligen Austritts der Nichtratifizierer oder der Gründung einer neuen Union, die Beibehaltung des primärrechtlichen Status quo sowie die erneute Reform der europäischen Verträge in einigen Jahren im Sinne einer &quot;Verfassung II&quot;. Einige der Alternativvorschläge stellen keine reelle Option dar. Aber auch die übrigen können nur second-best-Lösungen anbieten, da sie stets mit gewissen Einschränkungen oder Hindernissen verbunden sind. Welcher der diskutierten Plan B-Optionen auch immer zum Tragen kommt, die Ratifikation des VVE sollte nur gestoppt werden, wenn eine klare Alternative vorhanden ist, die ambitioniert genug ist, die EU-25 demokratischer und effizienter zu gestalten.", "VerschärftesBauernOpfer", "ja", "Thalmaier 2005", "http://de.guttenplag.wikia.com/wiki/Kategorie:Thalmaier%202005", "Transfer in die Vergangenheitsform überfordert den Plagiator offenbar streckenweise; hinzu kommen übernommene Rechtschreib- (&quot;Plan B-Optionen&quot; nicht durchgekoppelt) und Grammatikfehler (&quot;Welcher der diskutierten Optionen […] zum Tragen käme&quot;). Aufgrund der irreführenden Fußnote 540 ist der gesamte Abschnitt als verschärftes Bauernopfer zu werten."
192, "1-4", "[Welcher der diskutierten] Plan B-Optionen auch immer im Rahmen des Vertrages von Lissabon zum Tragen käme, die Ratifikation sollte nur gestoppt werden, wenn eine klare Alternative vorhanden ist, die ambitioniert genug ist, die EU-27 demokratischer und effizienter zu gestalten.", 4, "22-25", "Welcher der diskutierten Plan B-Optionen auch immer zum Tragen kommt, die Ratifikation des VVE sollte nur gestoppt werden, wenn eine klare Alternative vorhanden ist, die ambitioniert genug ist, die EU-25 demokratischer und effizienter zu gestalten.", "Verschleierung", "ja", "Thalmaier 2005", "http://de.guttenplag.wikia.com/wiki/Kategorie:Thalmaier%202005", "Grammatikfehler (&quot;Welcher der diskutierten Optionen […] zum Tragen käme&quot;) vom Plagiator mit übernommen."
192, "4-6", "Der Ausgang der Referenden belegt ein &quot;So geht es nicht weiter!&quot;. Ein schlichtes Einstellen der Bemühungen um Reformen und ein Weitermachen wie bisher kommen nicht in Betracht.", 4, "25-28", "Der Ausgang der Referenden belegt ein &quot;So geht es nicht weiter!&quot;. Ein schlichtes Einstellen der Bemühungen um Reformen und ein Weitermachen wie bisher kommen nicht in Betracht.", "KomplettPlagiat", "ja", "Thalmaier 2005", "http://de.guttenplag.wikia.com/wiki/Kategorie:Thalmaier%202005", ""
192, "6-7", "Den Verfassungsvertrag bzw. nunmehr den Vertrag von Lissabon zu &quot;begraben&quot;, ist daher keine tragfähige Option.", 4, 28, "Den Verfassungsvertrag zu &quot;begraben&quot;, ist daher keine Option.", "Verschleierung", "ja", "Thalmaier 2005", "http://de.guttenplag.wikia.com/wiki/Kategorie:Thalmaier%202005", ""
192, "08-16", "Die Staats- und Regierungschefs hatten schließlich auf dem EU-Gipfel am 16. / 17. Juni 2005 in Brüssel beschlossen, bis zum Ende der österreichischen Ratspräsidentschaft im Juni 2006 eine „Phase der Reﬂexion“ im Prozess der Ratiﬁzierung des Vertrages über eine Verfassung für Europa einzulegen.[541] Die Fortsetzung des Ratiﬁkationsprozesses wurde dadurch nicht Frage gestellt, zeitlich ist er aber zunächst bis Mitte 2007 verlängert worden. Infolgedessen hatten Großbritannien, Portugal, Polen, die Tschechische Republik, Dänemark, Irland, Schweden und Finnland ihre nationalen Ratifikationsverfahren auf unbestimmte Zeit ausgesetzt.&#13;&#10;&#13;&#10;____&#13;&#10;&#13;&#10;Fn 541: Diese Reﬂexionsphase wurde auf dem Gipfel Ende Juni 2006 nunmehr erneut verlängert.", 5, "3-11", "[...] haben die Staats- und Regierungschefs auf dem EU-Gipfel am 16./17. Juni 2005 in Brüssel beschlossen, bis zum Ende der österreichischen Ratspräsidentschaft im Juni 2006 eine „Phase der Reflexion“ im Prozess der Ratifizierung des Vertrages über eine Verfassung für Europa (VVE) einzulegen. Die Fortsetzung des Ratifikationsprozesses wird dadurch nicht Frage gestellt, zeitlich ist er aber bis Mitte 2007 verlängert worden. Infolgedessen haben Großbritannien, Portugal, Polen, die Tschechische Republik, Dänemark, Irland, Schweden und Finnland ihre nationalen Ratifikationsverfahren auf unbestimmte Zeit ausgesetzt.", "Verschleierung", "ja", "Thalmaier 2005", "http://de.guttenplag.wikia.com/wiki/Kategorie:Thalmaier%202005", ""
192, "17-18", "Schließlich ein grundsätzlicher Gedanke: Ein einmaliger, punktueller Akt kann eine Verfassung ohnehin nicht legitimieren.", 28, "1-2", "Dementsprechend kann ein einmaliger, punktueller Akt eine Verfassung ohnehin nicht legitimieren.", "Verschleierung", "nein", "Peters 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Peters%202003", "{{Fragmentsichter|Kahrl|+}}"
192, "18-19", "Denn dieser bezieht sich immer nur auf den Status quo.", 28, "2-3", "Denn dieser bezieht sich immer nur auf den Status quo.", "KomplettPlagiat", "nein", "Peters 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Peters%202003", "{{Fragmentsichter|Kahrl|+}}"
192, "19-21", "Wenn sich Verfassungsinhalte nicht bewähren oder wenn sich die Umstände ändern, dann bringt die vergangene einmalige Zustimmung letztlich nichts.", 28, "3-5", "Wenn sich Verfassungsinhalte nicht bewähren oder wenn sich die Umstände ändern, dann bringt die vergangene einmalige Zustimmung nichts.", "Verschleierung", "nein", "Peters 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Peters%202003", "{{Fragmentsichter|Kahrl|+}}"
192, "21-23", "Für die nachfolgenden Generationen, die unter dieser Verfassung leben müssen, hat dieser Akt - wenn es auf die Zustimmung der Bürger ankommen soll - ohnehin keine Legitimationswirkung.", 28, "5-7", "Für die nachfolgenden Generationen, die unter dieser Verfassung leben müssen, hat dieser Akt - wenn es auf die Zustimmung der Bürger ankommen soll - ohnehin keine Legitimationswirkung.", "KomplettPlagiat", "nein", "Peters 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Peters%202003", "{{Fragmentsichter|Kahrl|0}}"
192, "23-27", "Ein Umstand, der bereits Ende des 18. Jahrhunderts von Republikanern und Jakobinern erkannt worden ist. Demzufolge wird eine Verfassung weniger durch die Art und Weise ihrer „Erzeugung“ legitimiert als über ihre - nur ex post feststellbaren - Leistungen und kontinuierliche Akzeptanz. [Fn 542]", 28, "8-11", "Das ist schon im 18. Jahrhundert von Republikaner und Jakobinern erkannt worden. Meiner Ansicht nach wird eine Verfassung weniger durch die Art und Weise ihrer Erzeugung legitimiert als über ihre - nur ex post feststellbare - Leistungen und kontinuierliche Akzeptanz.", "Verschleierung", "nein", "Peters 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Peters%202003", "Die Fussnote 542 zitiert die Quelle, aber irreführend nur als „vgl. zu alledem auch A. Peters...“, d.h. ohne klarzumachen, dass der Text wortgetreu kopiert ist. {{Fragmentsichter|Kahrl|0}}"
192, "29-33", "In der Absicht, abschließend die Geschichte Europas als Ganzes in den Blick zu&#13;&#10;nehmen, ergeben sich aus dieser (limitierten) &#039;&#039;tour d’horizon&#039;&#039; einige Folgerungen,&#13;&#10;die gleichzeitig einer weitergehenden interdisziplinären Bearbeitung bedürften.&#13;&#10;Zum einen: Die Geschichte Europas ist in weiten Teilen ihre eigene Rezeptions-&#13;&#10;geschichte. Die &#039;&#039;longue durée&#039;&#039; ist ein Zivilisationsprozess, der in hohem Maße aus&#13;&#10;[Traditionswahrnehmungen gespeist wird.]", 23, "4-10", "Für den Historiker in der Absicht, die Geschichte Europas als Ganzes in&#13;&#10;den Blick zu nehmen, ergeben sich zum Abschluß aus dieser tour d’horizon&#13;&#10;einige Folgerungen.&#13;&#10;&#13;&#10;Das erste Ergebnis kann kurz gefaßt werden: Die Geschichte Europas ist in&#13;&#10;weiten Teilen ihre eigene Rezeptionsgeschichte. Die longue durée, wie sie&#13;&#10;hier beispielsweise umrissen wurde, ist ein Zivilisationsprozeß, der in ho-&#13;&#10;hem Maße aus Traditionswahrnehmungen gespeist wird.", "Verschleierung", "nein", "Schulze 1999", "http://de.guttenplag.wikia.com/wiki/Kategorie:Schulze%201999", "Mehrseitiges Plagiat, weiter auf [[Fragment_193_01-09|Seite 193]]."
192, "103-107", "[Fn 542] Die unbestrittene Legitimität des deutschen GG, das bekanntlich an diversen „Geburtsmakeln“ litt, illustriert diese These, vgl. zu alledem auch &#039;&#039;A. Peters&#039;&#039;, Stellungnahme, in: G. &#039;&#039;Kreis&#039;&#039; (Hrsg.), Der Beitrag der Wissenschaften zur künftigen Verfassung der EU. Interdisziplinäres Verfassungssymposium anlässlich des 10 Jahre Jubiläums des Europainstituts der Universität Basel. Basler Schriften zur europäischen Integration, Nr. 66, 2003, S. 24 ff.", 28, "11-13", "Die unbestrittene Legitimität des deutschen Grundgesetzes, das bekanntlich an diversen „Geburtsmakeln“ litt, illustriert diese These.", "VerschärftesBauernOpfer", "nein", "Peters 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Peters%202003", "Die Fußnote ist der einzige (und natürlich unzureichende) Hinweis auf den tatsächlich plagiierten Text → Verschärftes Bauernopfer. {{Fragmentsichter|Kahrl|0}}"
